sample	population	vapr	AnnTemp	Iso	TempSea	MaxTempWarm	MinTempCold	AnnPre	PreWet	PreDry	Lats.	Lons.
AB0279-C	BFM_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0280-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0281-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0282-C	BFM_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0283-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0284-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AC0089-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0090-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0091-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0092-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0093-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0094-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0095-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0096-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0097-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0098-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0099-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0100-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0101-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0102-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0103-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0104-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0105-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0106-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0107-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0108-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0109-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0110-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0111-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0112-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0113-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0114-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0115-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0116-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0117-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0118-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0119-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0120-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0121-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0122-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0123-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0124-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0125-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0126-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
AC0127-C	UGS_1	1.965866695	228	83	691	310	162	1321	194	49	0.77	34.026
